building_id,building_type,height,num_floors,latitude,longitude,vulnerability,seismic_zone,seismic_hazard,population_exposure,risk_score,risk_level,distance_km,duration_min,accessibility,risk_zone,priority_score,priority_level
B000156,unknown,,,17.4020898,78.4195825,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000157,unknown,,,17.4022356,78.4195484,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000158,unknown,,,17.4018404,78.4195143,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000159,unknown,,,17.4015306,78.4195248,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000160,unknown,,,17.4017511,78.4195267,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000161,unknown,,,17.4015697,78.4196057,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000162,unknown,,,17.4016109,78.4196563,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000163,unknown,,,17.4016852,78.4196337,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000164,unknown,,,17.4018369,78.4197158,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000165,unknown,,,17.4018866,78.4198445,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000166,unknown,,,17.4018154,78.419921,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000167,unknown,,,17.4016802,78.4198614,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000168,unknown,,,17.4015875,78.4198581,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000169,unknown,,,17.4014031,78.4198633,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000170,unknown,,,17.4014903,78.4198619,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000171,unknown,,,17.4014058,78.4197796,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000172,unknown,,,17.4012649,78.4198842,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000173,unknown,,,17.401065,78.4198804,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000174,unknown,,,17.4012649,78.4196976,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000175,unknown,,,17.401376,78.4195282,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000176,unknown,,,17.4014827,78.4195328,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000177,unknown,,,17.4012658,78.4195824,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000178,unknown,,,17.4013065,78.4195203,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000179,unknown,,,17.4013724,78.4193725,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000180,unknown,,,17.4013474,78.419328,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000181,unknown,,,17.4012131,78.419316,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000182,unknown,,,17.4010652,78.4194471,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000183,unknown,,,17.4009789,78.4194471,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000184,unknown,,,17.4009339,78.4194404,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000185,unknown,,,17.4011625,78.4197056,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000186,unknown,,,17.401016,78.4196955,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000187,unknown,,,17.4009145,78.4196847,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000188,unknown,,,17.4007356,78.4194429,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000189,unknown,,,17.4003615,78.4194512,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000190,unknown,,,17.4003515,78.4195754,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000191,unknown,,,17.4004451,78.4196683,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000192,unknown,,,17.4003551,78.4197559,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000193,unknown,,,17.4005899,78.4196652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000194,unknown,,,17.4005899,78.4196652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000195,unknown,,,17.4006704,78.419774,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000196,unknown,,,17.4004215,78.4201562,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000197,unknown,,,17.4006871,78.4200877,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000198,unknown,,,17.4008251,78.4199785,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000199,unknown,,,17.4014757,78.4200263,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000200,unknown,,,17.4013879,78.420026,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000201,unknown,,,17.4011919,78.4199391,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000202,unknown,,,17.4001216,78.4203246,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000203,unknown,,,17.399843,78.4201941,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000204,unknown,,,17.4000021,78.4202882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000205,unknown,,,17.4000407,78.4203697,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000206,unknown,,,17.400103,78.4201341,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000207,unknown,,,17.4001826,78.420161,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000208,unknown,,,17.4001025,78.4198984,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000209,unknown,,,17.4000285,78.4201011,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000210,unknown,,,17.3999321,78.4200735,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000211,unknown,,,17.3997211,78.4199043,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000212,unknown,,,17.3996513,78.4200572,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000213,unknown,,,17.3999231,78.4202465,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000214,unknown,,,17.3993426,78.4200784,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000215,unknown,,,17.3991797,78.4201402,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000216,unknown,,,17.3996889,78.4204502,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
B000217,unknown,,,17.3994563,78.4204318,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone,,Unknown
