building_id,building_type,height,num_floors,latitude,longitude
B000309,unknown,,,17.3931765,78.4200268
B000310,unknown,,,17.3926215,78.4199855
B000311,unknown,,,17.3927431,78.4202795
B000312,unknown,,,17.3927819,78.4197396
B000313,unknown,,,17.3932136,78.4195825
B000314,unknown,,,17.3930943,78.4194488
B000315,unknown,,,17.391312,78.4194602
B000316,unknown,,,17.3897173,78.4194793
B000317,unknown,,,17.3907236,78.4196176
B000318,unknown,,,17.3903628,78.4197607
B000319,unknown,,,17.3875363,78.4198507
B000320,unknown,,,17.3819794,78.4194054
B000321,unknown,,,17.3817993,78.4193958
B000322,unknown,,,17.3820028,78.4196802
B000323,unknown,,,17.3818256,78.4196621
B000324,unknown,,,17.3838011,78.4201189
B000325,unknown,,,17.3833384,78.4202059
B000326,unknown,,,17.3837438,78.4203037
B000327,unknown,,,17.383353,78.4204625
B000328,unknown,,,17.3833035,78.4203309
B000329,unknown,,,17.3816319,78.4205231
B000330,unknown,,,17.3815368,78.4205089
B000331,unknown,,,17.3812283,78.4203832
B000332,unknown,,,17.3808029,78.4205329
B000333,unknown,,,17.380711,78.4205295
B000334,unknown,,,17.3807943,78.4203346
B000335,unknown,,,17.3808053,78.4202467
B000336,unknown,,,17.380952,78.42025
B000337,unknown,,,17.3810801,78.4200761
B000338,unknown,,,17.3808383,78.4200367
B000339,unknown,,,17.380695,78.4200773
B000340,unknown,,,17.3809654,78.4200559
B000341,unknown,,,17.3810728,78.4200761
B000342,unknown,,,17.3810893,78.4200065
B000343,unknown,,,17.3812079,78.4199489
B000344,unknown,,,17.3813877,78.420202
B000345,unknown,,,17.3815723,78.4198785
B000346,unknown,,,17.3814195,78.4199926
B000347,unknown,,,17.3812535,78.4197298
B000348,unknown,,,17.3814912,78.4197068
B000349,unknown,,,17.3817189,78.4197155
B000350,unknown,,,17.3815513,78.4195672
B000351,unknown,,,17.3816559,78.4195345
B000352,unknown,,,17.3817493,78.4193053
B000353,unknown,,,17.3812777,78.419486
B000354,unknown,,,17.3814453,78.4195643
B000355,unknown,,,17.3812544,78.419593
B000356,unknown,,,17.3810468,78.4195778
B000357,unknown,,,17.3810771,78.4194983
B000358,unknown,,,17.3811929,78.4194589
B000359,unknown,,,17.3809167,78.4194731
B000360,unknown,,,17.3806591,78.4194432
B000361,unknown,,,17.3807998,78.4194678
B000362,unknown,,,17.3808718,78.419668
B000363,unknown,,,17.3808556,78.4198018
B000364,unknown,,,17.3810473,78.4196857
B000365,unknown,,,17.3811325,78.4197006
B000366,unknown,,,17.3809895,78.4197835
B000367,unknown,,,17.3810958,78.4198333
B000368,unknown,,,17.3810518,78.4199176
B000369,unknown,,,17.3809554,78.4199022
B000370,unknown,,,17.3808505,78.4198944
B000371,unknown,,,17.380706,78.4199142
B000372,unknown,,,17.3804547,78.4197055
B000373,unknown,,,17.3802199,78.4198569
B000374,unknown,,,17.3802021,78.4197806
B000375,unknown,,,17.3802136,78.4198875
B000376,unknown,,,17.3802003,78.4197956
B000377,unknown,,,17.3802364,78.4197796
B000378,unknown,,,17.3802445,78.4197654
B000379,unknown,,,17.3801931,78.4196845
B000380,unknown,,,17.3801869,78.4197023
B000381,unknown,,,17.3801986,78.419556
B000382,unknown,,,17.3802329,78.4196642
B000383,unknown,,,17.3803542,78.4196414
B000384,unknown,,,17.3806382,78.4196545
B000385,unknown,,,17.3804614,78.4195298
B000386,unknown,,,17.3805505,78.4194691
B000387,unknown,,,17.3803777,78.4193968
B000388,unknown,,,17.3803812,78.4194882
