building_id,building_type,height,num_floors,latitude,longitude,vulnerability,seismic_zone,seismic_hazard,population_exposure,risk_score,risk_level,distance_km,duration_min,accessibility,risk_zone
B050397,unknown,,,17.3582072,78.4897942,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050398,unknown,,,17.358254,78.4897431,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050399,unknown,,,17.3580476,78.4896064,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050400,unknown,,,17.3581074,78.4895519,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050401,unknown,,,17.3577006,78.4892931,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050402,unknown,,,17.3577529,78.4893112,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050403,unknown,,,17.3577611,78.489472,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050404,unknown,,,17.3578225,78.4894963,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050405,unknown,,,17.3578693,78.489499,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050406,unknown,,,17.358008,78.4896532,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050407,unknown,,,17.3577404,78.4895291,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050408,unknown,,,17.3577888,78.4896808,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050409,unknown,,,17.3575668,78.4896001,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050410,unknown,,,17.357578,78.4896391,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050411,unknown,,,17.3575406,78.4897111,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050412,unknown,,,17.357486,78.4896537,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050413,unknown,,,17.3574379,78.4896308,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050414,unknown,,,17.3574596,78.4895501,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050415,unknown,,,17.3574831,78.4894856,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050416,unknown,,,17.3575939,78.4895372,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050417,unknown,,,17.3576356,78.48944,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050418,unknown,,,17.3576204,78.4894777,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050419,unknown,,,17.3576696,78.4892445,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050420,unknown,,,17.3576143,78.489214,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050421,unknown,,,17.3574247,78.4892088,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050422,unknown,,,17.3573727,78.4893176,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050423,unknown,,,17.3573095,78.489301,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050424,unknown,,,17.3572141,78.4892462,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050425,unknown,,,17.3572506,78.4893207,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050426,unknown,,,17.3573145,78.4893113,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050427,unknown,,,17.35724,78.4895386,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050428,unknown,,,17.357295,78.4894802,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050429,unknown,,,17.3574024,78.48948,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050430,unknown,,,17.3573814,78.4895178,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050431,unknown,,,17.3572325,78.4895669,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050432,unknown,,,17.3576733,78.4898372,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050433,unknown,,,17.357611,78.4899129,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050434,unknown,,,17.3575845,78.4898188,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050435,unknown,,,17.3576675,78.489964,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050436,unknown,,,17.3573861,78.4899905,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050437,unknown,,,17.3572185,78.490122,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050438,unknown,,,17.3571689,78.490159,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050439,unknown,,,17.3571961,78.490078,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050440,unknown,,,17.35701,78.4900336,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050441,unknown,,,17.357208,78.4900096,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050442,unknown,,,17.357203,78.489997,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050443,unknown,,,17.3569246,78.4898937,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050444,unknown,,,17.3567894,78.4898379,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050445,unknown,,,17.3567793,78.4900373,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050446,unknown,,,17.3569818,78.4901331,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050447,unknown,,,17.356727,78.4899925,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050448,unknown,,,17.3566834,78.4899996,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050449,unknown,,,17.3566597,78.4900814,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050450,unknown,,,17.3564482,78.490218,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050451,unknown,,,17.3564947,78.4899379,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050452,unknown,,,17.3567374,78.4898284,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050453,unknown,,,17.3567605,78.4894664,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050454,unknown,,,17.3565186,78.4897519,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050455,unknown,,,17.3564327,78.489252,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050456,unknown,,,17.3565614,78.4892361,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050457,unknown,,,17.3566009,78.4893997,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050458,unknown,,,17.3567028,78.4893731,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050459,unknown,,,17.356809,78.4892504,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050460,unknown,,,17.3568294,78.4892183,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050461,unknown,,,17.3570272,78.4892182,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050462,unknown,,,17.3568556,78.489415,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050463,unknown,,,17.3567548,78.4893968,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050464,unknown,,,17.3569739,78.4896362,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050465,unknown,,,17.3570948,78.4896438,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050466,unknown,,,17.3570595,78.4896077,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050467,unknown,,,17.3571298,78.4895397,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050468,unknown,,,17.3572838,78.4896346,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050469,unknown,,,17.3572261,78.4895561,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050470,unknown,,,17.3571831,78.4895656,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050471,unknown,,,17.3571376,78.4895444,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050472,unknown,,,17.3572102,78.4894809,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050473,unknown,,,17.3572188,78.4892554,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050474,unknown,,,17.3571815,78.4891008,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050475,unknown,,,17.3572291,78.4891341,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050476,unknown,,,17.356521,78.4892249,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050477,unknown,,,17.3563136,78.4889539,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050478,unknown,,,17.3565208,78.4887349,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050479,unknown,,,17.3563975,78.488887,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050480,unknown,,,17.356347,78.4888582,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050481,unknown,,,17.356387,78.4887115,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050482,unknown,,,17.356423,78.4886399,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050483,unknown,,,17.3566686,78.4885577,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050484,unknown,,,17.3566998,78.4884843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050485,unknown,,,17.3564332,78.4886444,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050486,unknown,,,17.3564989,78.4884568,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050487,unknown,,,17.3566296,78.4883373,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050488,unknown,,,17.3567132,78.488397,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050489,unknown,,,17.3567635,78.4882018,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050490,unknown,,,17.3568649,78.488154,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050491,unknown,,,17.3569338,78.48829,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050492,unknown,,,17.3569916,78.4883859,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050493,unknown,,,17.3567328,78.4883196,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050494,unknown,,,17.3571643,78.4882389,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050495,unknown,,,17.3570956,78.4882932,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050496,unknown,,,17.3572387,78.4883526,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050497,unknown,,,17.3576149,78.4881977,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050498,unknown,,,17.3575625,78.4883412,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050499,unknown,,,17.3576902,78.4882723,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050500,unknown,,,17.3575004,78.4883991,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050501,unknown,,,17.3576982,78.4884058,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050502,unknown,,,17.3576786,78.488476,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050503,unknown,,,17.3576558,78.4886574,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050504,unknown,,,17.3574869,78.4886442,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050505,unknown,,,17.3573729,78.4886797,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050506,unknown,,,17.3573774,78.4887946,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050507,unknown,,,17.3573414,78.4887812,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050508,unknown,,,17.3572332,78.4890119,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050509,unknown,,,17.3572766,78.4891236,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050510,unknown,,,17.3573716,78.489179,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050511,unknown,,,17.3575296,78.4892332,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050512,unknown,,,17.3576782,78.4891074,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050513,unknown,,,17.3576075,78.4888982,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050514,unknown,,,17.3576558,78.4886574,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050515,unknown,,,17.3579956,78.4886723,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050516,unknown,,,17.3579454,78.4887996,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050517,unknown,,,17.3577615,78.4889323,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050518,unknown,,,17.3579381,78.4889961,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050519,unknown,,,17.3580172,78.4891268,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050520,unknown,,,17.3581837,78.4888568,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050521,unknown,,,17.3582081,78.4887964,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050522,unknown,,,17.3582339,78.4887213,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050523,unknown,,,17.3580225,78.4885961,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050524,unknown,,,17.3580329,78.4886856,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050525,unknown,,,17.3579963,78.4886626,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050526,unknown,,,17.3577423,78.4885009,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050527,unknown,,,17.3576902,78.4882723,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050528,unknown,,,17.3578335,78.4881413,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050529,unknown,,,17.3578211,78.4881081,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050530,unknown,,,17.3577215,78.4880041,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050531,unknown,,,17.3579724,78.4879746,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050532,unknown,,,17.3580164,78.4878763,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050533,unknown,,,17.3580623,78.4878882,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050534,unknown,,,17.3581525,78.4876565,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050535,unknown,,,17.3580116,78.4876022,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050536,unknown,,,17.3579702,78.4875388,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050537,unknown,,,17.3581266,78.4873354,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050538,unknown,,,17.3581141,78.4872185,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050539,unknown,,,17.3580019,78.4873821,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050540,unknown,,,17.3579185,78.4873288,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050541,unknown,,,17.3578095,78.4872621,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050542,unknown,,,17.3577452,78.4875257,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050543,unknown,,,17.3577637,78.4874522,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050544,unknown,,,17.3576973,78.4873365,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050545,unknown,,,17.3575918,78.4872409,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050546,unknown,,,17.3575213,78.487414,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050547,unknown,,,17.3574674,78.4872476,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050548,unknown,,,17.3573231,78.4872973,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050549,unknown,,,17.3572363,78.4874808,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050550,unknown,,,17.3572792,78.4874987,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050551,unknown,,,17.3575499,78.4875842,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050552,unknown,,,17.3572785,78.4877298,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050553,unknown,,,17.3573538,78.4877569,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050554,unknown,,,17.357555,78.4877513,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050555,unknown,,,17.357474,78.4878657,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050556,unknown,,,17.3574692,78.4881423,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050557,unknown,,,17.3574018,78.4881123,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050558,unknown,,,17.3573407,78.4880652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050559,unknown,,,17.3573022,78.4878962,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050560,unknown,,,17.3572796,78.4881292,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050561,unknown,,,17.3571967,78.4881077,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050562,unknown,,,17.3572179,78.4880232,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050563,unknown,,,17.3571242,78.488031,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050564,unknown,,,17.3572114,78.4876733,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050565,unknown,,,17.3569311,78.4880872,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050566,unknown,,,17.3565896,78.4878813,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050567,unknown,,,17.356291,78.4881225,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050568,unknown,,,17.3563946,78.487889,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050569,unknown,,,17.3564085,78.487949,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050570,unknown,,,17.3566023,78.4877712,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050571,unknown,,,17.356525,78.4877227,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050572,unknown,,,17.3565979,78.4878728,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050573,unknown,,,17.3567541,78.4877451,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050574,unknown,,,17.3567782,78.4876651,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050575,unknown,,,17.3566751,78.4875618,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050576,unknown,,,17.356728,78.4875375,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050577,unknown,,,17.3566295,78.4874343,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050578,unknown,,,17.3566302,78.487431,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050579,unknown,,,17.3566299,78.487518,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050580,unknown,,,17.3565808,78.4876104,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050581,unknown,,,17.3565183,78.4875652,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050582,unknown,,,17.356556,78.4873502,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050583,unknown,,,17.3564406,78.4873661,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050584,unknown,,,17.3565417,78.4871853,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050585,unknown,,,17.3565856,78.487224,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050586,unknown,,,17.3568249,78.4872331,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050587,unknown,,,17.3568291,78.4873067,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050588,unknown,,,17.3569362,78.4872484,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050589,unknown,,,17.3567737,78.487416,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050590,unknown,,,17.3567515,78.4874776,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050591,unknown,,,17.356891,78.4875761,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050592,unknown,,,17.3570862,78.4874768,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050593,unknown,,,17.3570502,78.487638,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050594,unknown,,,17.3571184,78.4876622,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050595,unknown,,,17.3571152,78.4872501,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050596,unknown,,,17.3572188,78.487074,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050597,unknown,,,17.3572484,78.4869969,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050598,unknown,,,17.3571868,78.4869252,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050599,unknown,,,17.3570336,78.4867421,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050600,unknown,,,17.3570217,78.4867993,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050601,unknown,,,17.3568956,78.4867507,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050602,unknown,,,17.3570756,78.4869488,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050603,unknown,,,17.3567343,78.4871343,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050604,unknown,,,17.3566575,78.4871456,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050605,unknown,,,17.3565492,78.4871041,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050606,unknown,,,17.3562889,78.4870322,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050607,unknown,,,17.3564533,78.4868128,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050608,unknown,,,17.3563934,78.4867894,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050609,unknown,,,17.3566199,78.4868803,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050610,unknown,,,17.3567551,78.4865918,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050611,unknown,,,17.3566634,78.4866084,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050612,unknown,,,17.3566125,78.4865893,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050613,unknown,,,17.3565549,78.4866154,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050614,unknown,,,17.3563156,78.4864354,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050615,unknown,,,17.3564816,78.4865493,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050616,unknown,,,17.3563935,78.4862461,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050617,unknown,,,17.3563194,78.486162,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050618,unknown,,,17.3566994,78.4863203,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050619,unknown,,,17.3569945,78.486364,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050620,unknown,,,17.3568031,78.4863628,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050621,unknown,,,17.3567498,78.4863481,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050622,unknown,,,17.3570148,78.4864518,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050623,unknown,,,17.3570162,78.4864555,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050624,unknown,,,17.3576621,78.4862563,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050625,unknown,,,17.3575526,78.486331,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050626,unknown,,,17.3574658,78.4862954,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050627,unknown,,,17.3576183,78.4864746,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050628,unknown,,,17.3573436,78.4865871,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050629,unknown,,,17.3573289,78.4868951,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050630,unknown,,,17.357214,78.4867813,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050631,unknown,,,17.3573263,78.4871523,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050632,unknown,,,17.3574281,78.4869856,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050633,unknown,,,17.357456,78.486911,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050634,unknown,,,17.3575464,78.4870337,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050635,unknown,,,17.3575112,78.4870756,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050636,unknown,,,17.3575761,78.4867381,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050637,unknown,,,17.3577389,78.4867937,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050638,unknown,,,17.3578175,78.4868371,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050639,unknown,,,17.3577731,78.4871003,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050640,unknown,,,17.3580398,78.4870068,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050641,unknown,,,17.3580619,78.4867843,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050642,unknown,,,17.3581654,78.4865526,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050643,unknown,,,17.357694,78.4864263,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050644,unknown,,,17.3577832,78.4864575,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
B050645,unknown,,,17.3580914,78.4863373,50,Zone II,20,20,35.0,Moderate,,,,Moderate Risk Zone
